Authors,Title,Year,Source title,Link,Document Type,Source
"Mathieson K.","Predicting user intentions: Comparing the technology acceptance model with the theory of planned behavior",1991,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73549114871&doi=10.1287%2fisre.2.3.173&partnerID=40&md5=7f749d91c6ef4f05e6b912a23d3fecb4",Article,Scopus
"Walsham G.","Interpretive case studies in IS research: Nature and method",1995,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974872728&doi=10.1057%2fejis.1995.9&partnerID=40&md5=68b28dc9a82475cc348cf63157188677",Article,Scopus
"Porter M.E.","Strategy and the Internet.",2001,"Harvard business review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035289645&partnerID=40&md5=ca49945199d256e5c1c43994dd478458",Article,Scopus
"DeSanctis G., Poole M.S.","Capturing the complexity in advanced technology use: Adaptive structuration theory",1994,"Organization Science",,,Scopus
"Davenport T.H.","Putting the enterprise into the enterprise system.",1998,"Harvard business review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032112063&partnerID=40&md5=b64bdf6d45fa9436b8fcfe7c1d5ad92d",Article,Scopus
"Leont'ev A.N.",[No title available],1978,"Activity, Consciousness, and Personality",,,Scopus
"Sheppard B.H., Hartwick J., Warshaw P.R.","The theory of reasoned action: A meta-analysis of past research with recommendations for modifications and future research",1988,"Journal of Consumer Research",,,Scopus
"Akrich M.","The de-scription of technical objects",1992,"Shaping Technology/Building Society",,,Scopus
"Brown J.S., Duguid P.","Knowledge and Organization: A Social-Practice Perspective",2001,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035612309&doi=10.1287%2forsc.12.2.198.10116&partnerID=40&md5=f67e994e2ea6001a425bd4b1850157f3",Article,Scopus
"Van De Ven Andrew H.","CENTRAL PROBLEMS IN THE MANAGEMENT OF INNOVATION.",1986,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022717875&doi=10.1287%2fmnsc.32.5.590&partnerID=40&md5=c3c2707a26418b2bb1cd35cef6ba5bf2",Article,Scopus
"Kogut B.","Joint ventures: Theoretical and empirical perspectives",1988,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989051609&doi=10.1002%2fsmj.4250090403&partnerID=40&md5=24172e248dbe63611a538e419f1cd983",Article,Scopus
"Wenger E.","Communities of Practice and Social Learning Systems",2000,"Organization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344387886&doi=10.1177%2f135050840072002&partnerID=40&md5=e703f8e6f46b6738a4c33f54d722c613",Article,Scopus
"Van De Ven A.H., Poole M.S.","Explaining development and change in organizations",1995,"Academy of Management Review",,,Scopus
"Rochet J.-C., Tirole J.","Platform competition in two-sided markets",2003,"Journal of the European Economic Association","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1942479042&doi=10.1162%2f154247603322493212&partnerID=40&md5=444bf72c4977037446840d8b23041075",Article,Scopus
"Sambamurthy V., Bharadwaj A., Grover V.","Shaping agility through digital options: Reconceptualizing the role of information technology in contemporary firms",2003,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242575351&doi=10.2307%2f30036530&partnerID=40&md5=44337dd63a5a41511e30003cc58a2ad7",Article,Scopus
"Tornatzky L.G., Fleischer M.",[No title available],1990,"The Processes of Technological Innovation",,,Scopus
"Tornatzky Louis G., Klein Katherine J.","INNOVATION CHARACTERISTICS AND INNOVATION ADOPTION-IMPLEMENTATION: A META-ANALYSIS OF FINDINGS.",1982,"IEEE Transactions on Engineering Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020088068&doi=10.1109%2fTEM.1982.6447463&partnerID=40&md5=2be3dc7a317df894596707ab9e041167",Article,Scopus
"Wade M., Hulland J.","Review: The resource-based view and information systems research: Review, extension, and suggestions for future research",2004,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744223613&doi=10.2307%2f25148626&partnerID=40&md5=ee34dc080a09504fd4d9ed309b0a5867",Review,Scopus
"Orlikowski W.J.","Knowing in practice: Enacting a collective capability in distributed organizing",2002,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036014191&doi=10.1287%2forsc.13.3.249.2776&partnerID=40&md5=63122af5bdb2897f58cb4ccb4c6cb4e6",Article,Scopus
"Barley S.R.","Technology as an occasion for structuring: Evidence from observations of CT scanners and the social order of radiology departments",1986,"Administrative Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022627077&doi=10.2307%2f2392767&partnerID=40&md5=1321c0d2eac8145da4e3864555808a5c",Article,Scopus
"Clegg S.",[No title available],1989,"Frameworks of Power",,,Scopus
"Orlikowski W.J., Iacono C.S.","Research Commentary: Desperately Seeking the ""IT"" in IT Research - A Call to Theorizing the IT Artifact",2001,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035611374&doi=10.1287%2fisre.12.2.121.9700&partnerID=40&md5=829ad7f926577f038677ef2086eeda1b",Article,Scopus
"Carlile P.R.","Transferring, translating, and transforming: An integrative framework for managing knowledge across boundaries",2004,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-7544248475&doi=10.1287%2forsc.1040.0094&partnerID=40&md5=d31ba3ec9385bab8c95c530df9978f45",Article,Scopus
"Zaltman G., Duncan R., Holbek J.","Innovations and organizations",1973,"Innovations and Organizations",,,Scopus
"Orlikowski W.J., Baroudi J.J.","Studying information technology in organizations: Research approaches and assumptions",1991,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71549126429&doi=10.1287%2fisre.2.1.1&partnerID=40&md5=a413c865a2de878d0ce648b64abfdb01",Article,Scopus
