Authors,Title,Year,Source title,Link,Document Type,Source
"Angel González Block M.A., Sandiford P., Ruiz J.A., Rovira J.","Beyond health gain: The range of health system benefits expressed by social groups in Mexico and Central America",2001,"Social Science and Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035113739&doi=10.1016%2fS0277-9536%2800%2900267-7&partnerID=40&md5=eac6370ff830ac337885b7766c9db23c",Article,Scopus
"Braa J., Heywood A., Shung King M.","District level information systems: Two cases from South Africa",1997,"Methods of Information in Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030855133&doi=10.1055%2fs-0038-1634696&partnerID=40&md5=32815e809702bb7f93b3330558071c55",Review,Scopus
"Fischer G., Reeves B.N.","Creating success models of cooperative problem solving",1995,"Readings in Human-Computer Interaction: Toward the Year 2000",,,Scopus
"Klein H.K., Lyytinen K.","Towards a new understanding of data modeling",1992,"Software Development and Reality Construction",,,Scopus
"Pettey C., Tudor B.",[No title available],2011,"Gartner Says Worldwide IT Spending to Grow 5.1 Percent in 2011",,,Scopus
"Braa J., Muquinge H.","Building collaborative networks in Africa on health information systems and open source software development - Experience from the HISP/BEANISH network",2007,"Building Collaborative Networks in Africa on Health Information Systems and Open Source Software Development-Experience from the HISP/BEANISH Network",,,Scopus
"Iivari N.","The role of organizational culture in organizational change -Identifying a realistic position for prospective is research",2005,"Proceedings of the 13th European Conference on Information Systems, Information Systems in a Rapidly Changing Economy, ECIS 2005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871003387&partnerID=40&md5=a0d94f3026fd4f11fddfe2a38ab61757",Conference Paper,Scopus
"Henriksen H.Z., Andersen K.V.","Diffusion of e-commerce in Denmark: An analysis of institutional intervention",2004,"Knowledge, Technology, and Policy",,,Scopus
"Gurumurthy A.",[No title available],2004,"Bridging the digital gender divide; Issues and insights on ICT for Women's economic empowerment",,,Scopus
"Hunt P.","True stories: Telecentres in Latin America and the Caribbean",2001,"Electronic Journal on Information Systems in Developing Countries",,,Scopus
"Gonzalez J.S.",[No title available],1998,"The 21st-Century Intranet",,,Scopus
"Azad A.N., Erdem A.S., Saleem N.","A framework for realizing the potential of information technology in developing countries",1998,"International Journal of Commerce and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346088423&doi=10.1108%2feb047371&partnerID=40&md5=bdb50aba3e0320e2168b2a3dc18bff1a",Article,Scopus
"Braa J.","Community-based participatory design in the third world",1996,"PDC'96 Prodeedings of the Participatory Design Conference",,,Scopus
"Triolo P.S., Lovelock P.","Up, up, and away - With strings attached",1996,"China Business Review",,,Scopus
"Avgerou C.","IT as an institutional actor in developing countries",2018,"The Digital Challenge: Information Technology in the Development Context","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072144462&partnerID=40&md5=bad56aec423024771839648854b8781f",Book Chapter,Scopus
"Rahman H.","e-Government readiness: From the design table to the grass roots",2007,"ACM International Conference Proceeding Series","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953764805&doi=10.1145%2f1328057.1328104&partnerID=40&md5=54249c72cbf040480f94b2eec922577a",Conference Paper,Scopus
"Shackleton S.-J.",[No title available],2007,"Rapid Assessment of Cell Phones for Development",,,Scopus
[No author name available],"Measuring ICT for social and economic development",2006,"Measuring ICT for Social and Economic Development",,,Scopus
"Demoussis M., Giannakopoulos N.","The dynamics of home computer ownership in Greece",2006,"Information Economics and Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30944459978&doi=10.1016%2fj.infoecopol.2005.07.001&partnerID=40&md5=62aaab6ad2454ad04ee2fde55984f949",Article,Scopus
"Barrett M., Jarvenpaa S., Silva L., Walsham G.","ICTs, Globalization and Local Diversity",2003,"Communications of the Association for Information Systems",,,Scopus
"Rama Mohan Rao M.S., Batchelor C.H., James A.J., Nagaraja R., Seeley J., Butterworth J.A.",[No title available],2003,"Andhra Pradesh Rural Livelihood Programme Water Audit Report (APRLP)",,,Scopus
"Carayannis E.G., Sagi J.","Exploiting opportunities of the new economy: Developing nations in support of the ICT industry",2002,"Technovation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036680234&doi=10.1016%2fS0166-4972%2801%2900046-3&partnerID=40&md5=1163f711c88c11bfa893b972559a7c8c",Article,Scopus
"Ketelhoehn N., Porter M.","Building a Cluster: Electronics and Information Technology in Costa Rica",2002,"Building A Cluster: Electronics and Information Technology in Costa Rica",,,Scopus
"Kambhampati U.S.","The software industry and development: The case of India",2002,"Progress in Development Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996187303&doi=10.1191%2f1464993402ps028ra&partnerID=40&md5=99873add5912ae637ba8636248342160",Article,Scopus
"Rosen D.H.","Hype versus hope for e-commerce in China",1999,"The China Business Review",,,Scopus
"Mejias R.J., Palmer J.W., Harvey M.G.","Emerging technologies, IT infrastructure, and economic development in Mexico",1999,"Journal of Global Information Technology Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870285913&doi=10.1080%2f1097198X.1999.10856246&partnerID=40&md5=38b63616fa0e00b550794c48a9857ce0",Article,Scopus
"Roberto Evaristo J.","The impact of privatization on organizational information needs:Lessons from the Brazilian Telecommunications Holding Company",1998,"Information Technology & People","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986052207&doi=10.1108%2f09593849810228002&partnerID=40&md5=c3593b00a9d068438ac8a3d1d8a0b84f",Article,Scopus
"Grudin J.","The Organizational Contexts of Development and Use",1996,"ACM Computing Surveys","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142599274&doi=10.1145%2f234313.234384&partnerID=40&md5=bafb143589acdd82c883fc4254a54022",Article,Scopus
"Sandiford P., Kanga G.J., Ahmed A.M.","The management of health services in Tanzania: A plea for health sector reform",1994,"The International Journal of Health Planning and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028665910&doi=10.1002%2fhpm.4740090404&partnerID=40&md5=e28c73d51a88a682c8b67ca3d2aa55e7",Article,Scopus
"McFarlan F.W.","Multinational CIO challenge for the 1990s",1992,"The Global Issues of Information Technology Management",,,Scopus
"Jain R.B., Dwivedi O.P.","Administrative culture and bureaucratic values in India",1990,"Indian Journal of Public Administration",,,Scopus
"Glaser G., Torrance A., Schwartz M.","Administrative applications",1983,"The Encyclopedia of Computer Science and Engineering",,,Scopus
"Mukama F.",[No title available],2003,"A study of health information systems at local levels: Improving the levels and management of information at district levels",,,Scopus
"Dufner D., Holley L.M., Reed B.J.","Strategic information systems planning and U.S. county government",2003,"Communications of the Association for Information Systems",,,Scopus
"Piatkowski M.","The contribution of ICT investment to economic growth and labor productivity in Poland, 1995-2000",2003,"The Contribution of ICT Investment to Economic Growth and Labor Productivity in Poland 1995-2000",,,Scopus
"Fielding D.","Health and wealth: A structural model of social and economic development",2002,"Review of Development Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036784895&doi=10.1111%2f1467-9361.00163&partnerID=40&md5=7bc0b2813094d9d3196919b207b7b7c3",Article,Scopus
"Robbins P.",[No title available],2000,"Review of Market Information Systems in Botswana, Ethiopia, Ghana and Zimbabwe. Study Report",,,Scopus
"Kennedy G.","E-commerce: The taming of the Internet in China",2000,"The China Business Review",,,Scopus
"Cox B., Ghoneim S.","Strategic use of EDI in the public sector: The HMSO case study",1998,"Journal of Strategic Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041760802&doi=10.1016%2fS0963-8687%2898%2900017-1&partnerID=40&md5=c58021d6b027ef0d31add14a3415c680",Article,Scopus
"Forge S.",[No title available],1995,"Consequences of Current Telecommunications Trends on the Competitiveness of Developing Countries",,,Scopus
"Harsh S., Weber M.","The use of microcomputers in the agriculture sector in developing countries",1985,"Microcomputers for Development",,,Scopus
"Reinhard N., Macadar M.A.","Governance and management in the sao paulo telecentre network",2006,"Information Technology for Development",,,Scopus
"Singletary L.A.","Applications integration: Is it always desirable?",2004,"Proceedings of the Hawaii International Conference on System Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-12344284633&partnerID=40&md5=557312560a78758c66a8777bb67e3ee6",Conference Paper,Scopus
"McLellan F.","Information technology can benefit developing countries.",2001,"Lancet","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035964033&doi=10.1016%2fS0140-6736%2801%2905534-9&partnerID=40&md5=29c066676bcffa298836d3d8e3c31f9a",Article,Scopus
"Macmillan H.","Managing Information Systems: Three Key Principles for General Managers",1997,"Journal of General Management",,,Scopus
"Schieber G.J.","Preconditions for health reform: experiences from the OECD countries",1995,"Health policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029015008&doi=10.1016%2f0168-8510%2895%2900740-J&partnerID=40&md5=ca39da3fcb0e7317c3ee74d41245b452",Article,Scopus
"Hamade S.N.","Information and communication technology in Arab countries: Problems and solutions",2009,"ITNG 2009 - 6th International Conference on Information Technology: New Generations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951135288&doi=10.1109%2fITNG.2009.62&partnerID=40&md5=7e1a663860f2597f9fdb64b3db4e944f",Conference Paper,Scopus
"Premkumar G., Richardson V., Zmud R.","Sustaining Competitive Advantage through a Value Net: The Case of Enterprise Rent-a-Car",2004,"MIS Quarterly Executive",,,Scopus
"Piccoli G., Bass B., Ives B.","Custom-made apparel at Lands' End",2003,"MIS Quarterly Executive",,,Scopus
"Balakrishnan N.","Information and communication technologies and the digital divide in the Third World countries",2001,"Current Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042913218&partnerID=40&md5=4563c01312a3f7ca8d258f28febcd8d8",Article,Scopus
"Markus M.L.","Reflections on the systems integration enterprise",2001,"Business Process Management Journal",,,Scopus
"Hamilton J.",[No title available],2001,"Institutions, Competition and the Performance of Telecommunications Infrastructure in Africa",,,Scopus
"Lamberton D.M.","An information infrastructure for development",2001,"Prometheus (United Kingdom)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034767133&doi=10.1080%2f08109020110072199&partnerID=40&md5=a2a271a075f63a370bba49ba686ef2ec",Article,Scopus
"Schlevogt K.A.","Investing and managing in china-how to dance with the dragon",2000,"Thunderbird International Business Review",,,Scopus
"Barnes S.J., Targett D.","A framework for strategic information systems implementation in the United Kingdom health sector.",1999,"Topics in health information management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033126276&partnerID=40&md5=7bb694d29ac29e693a61ec4221954e2b",Article,Scopus
"Sosa-Iudicissa M., Levett J., Mandil S., Beales P.F.",[No title available],1995,"Health, Information Society and Developing Countries",,,Scopus
"White W.",[No title available],1990,"Science and Technology Information Services and Systems in Africa",,,Scopus
"Lu M.-T., Farrell C.","Information systems development in developing countries: An evaluation and recommendations",1990,"International Journal of Information Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346718960&doi=10.1016%2f0268-4012%2890%2990036-R&partnerID=40&md5=b72313d9c7c18e984f1107cef097945d",Article,Scopus
"Clayton E.","Agriculture, poverty and freedom in developing countries.",1983,"Agriculture, poverty and freedom in developing countries.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040804344&partnerID=40&md5=dde20911ec4207a9ee87101f594d8c5c",Article,Scopus
"Meyer N.D.","Office automation: a progress report",1982,"Technology and People",,,Scopus
"Feller I.","Managerial response to technological innovation in public sector organizations",1980,"Management Sci.",,,Scopus
"Jelassi T.","Ict in tunisia: A strategic lever for building a knowledge-based economy",2010,"Global Information Technology Report 2009-2010",,,Scopus
[No author name available],[No title available],2009,"Bangladesh at a glance",,,Scopus
"Papaioannou S.K.",[No title available],2004,"FDI and ICT Innovation Effect on Productivity Growth: A Comparison between Developing and Developed Countries",,,Scopus
"Fonseca F., Davis C.","Using the internet to access geographic information: An OpenGIS prototype",1999,"Interoperating Geographic Information Systems",,,Scopus
"Pisciotta A.","Global trends in privatisation and liberalization",1997,"Telecom Reform: Principles, Policies and Regulatory Practices",,,Scopus
"White W.",[No title available],1996,"Bridge Builders: African Experiences with Information and Communication Technology",,,Scopus
"Berman B.","The state, computers and African development: The information non-revolution",1992,"Microcomputers in African Development: Critical Perspectives",,,Scopus
"Pawar R.S.","IT manpower in India: The burning issues",1991,"Information Technology Manpower: Key Issues for Developing Countries",,,Scopus
"Beckstrom M., Croasdale H., Riad S.M., Kamel M.M.",[No title available],2004,"Assessment of Egypt's E-learning Readiness",,,Scopus
"Hanseth O., Aanestad M.","Bootstrapping networks, infrastructures and communities",2003,"Methods of Information in Medicine",,,Scopus
"Wilks A.","From the adam smith institute to the zapatistas: An internet gateway to all development knowledge",2002,"Compare","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542413605&doi=10.1080%2f0305792022000007481&partnerID=40&md5=40df8ece65538667cf18af545796820c",Article,Scopus
"Wichern R., Hausner U., Chiwele D.K.","Impediments to agricultural growth in Zambia",1999,"International Food Policy Research Institute, TMD Discussion Papers No. 47",,,Scopus
"Bratteteig T., Gregory J.","Human Action in Context: A Discussion of Theories for Understanding Use of IT",1999,"Proceedings of the 22nd Information Systems Research Seminar in Scandinavia (IRIS'22)",,,Scopus
"Al-Shoaibi A.","The Impact of Information Technology on Organisations: The case of Saudi Private Sector",1998,"The Impact of Information Technology on Organizations: The Case of Saudi Private",,,Scopus
"Jarvenpaa S.L., Leidner D.E.","An information company in Mexico: Extending the resource-based view of the firm",1997,"Proceedings of the 18th International Conference on Information Systems, ICIS 1997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025373110&partnerID=40&md5=1e67d1e9a073612643899b8f85924e5b",Conference Paper,Scopus
"Burkhalter B.R., Miller R.I., Silva L., Burleigh E.","Variations in estimates of Guatemalan infant mortality, vaccination coverage, and ORS use reported by different sources.",1995,"Bulletin of the Pan American Health Organization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029269328&partnerID=40&md5=600f6d7b344145ebc8722b84b13ad676",Article,Scopus
"Madon S.","Computer-based information systems for development planning: Managing human resources",1993,"European Journal of Information Systems",,,Scopus
"Rao R.S., Venkataswamy M., Mastan Rao C., Rama Krishna G.V.A.","Identification of overdeveloped zones of ground water and the location of rainwater harvesting structures using an integrated remote sensing based approach-a case study in part of the Anantapur district, Andhra Pradesh, India",1993,"International Journal of Remote Sensing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027789004&doi=10.1080%2f01431169308904437&partnerID=40&md5=633c2c1f9a75458136a5bdfd2d02da97",Article,Scopus
"Resnick D.",[No title available],1985,"Technology and the Human Factor: The Uses of Microcomputers",,,Scopus
[No author name available],[No title available],1982,"Elements of Institution-Building for Institutes of Public Administration and Management",,,Scopus
"Smith A.",[No title available],2009,"Open Source, Open Standards and Re-use: Government Action Plan",,,Scopus
"Phahlamohlaka J., Braun M., Romijn H., Roode D.",[No title available],2008,"Community-driven Projects: Reflections on a Success Story. a Case Study of Science Education and Information Technology in South Africa",,,Scopus
"Chandrasekaran D., Tellis G.J.","New product growth models in marketing: A critical review of models and findings",2005,"Review of Marketing Research",,,Scopus
"Byrne E.",[No title available],2004,"A Participatory Approach to the Design of a Community-Based Child-Health Information System for the Care of Vulnerable Children",,,Scopus
"Al-Jaghoub S.",[No title available],2004,"Building A Knowledge Based Economy Using ICT for Development and the Role of the Nation State: A Case Study of Jordan",,,Scopus
"Dasgupta A.R., Rao M., Gopalan A.K.S.","The national (natural) resources information system",2000,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30844460116&partnerID=40&md5=55a27e7d105909348a7c0aa1578dd1af",Conference Paper,Scopus
"Chrisman N.",[No title available],1999,"Trading Zones Or Boundary Objects: Understanding Incomplete Translations of Technical Expertise",,,Scopus
"Kapetlinin V.","Human Computer Interaction in Context: The Activity Theory Perspective",1992,"Proceedings of the East-West Conference on Human Computer Interaction",,,Scopus
"Gilbert A.L.","A transaction costs model of international information technology transfers: The dynamics of intelligence and control",1992,"The Global Issues of Information Technology Management",,,Scopus
"Davis G.","A model for adoption and diffusion of information systems in less developed countries",1992,"The Global Issues of Information Technology Management",,,Scopus
"Aguilera G., Morales A., Sojo C.",[No title available],1991,"Centro America: De Reagan a Bush",,,Scopus
"Galvis A.H.","Educational computing technology transfer: What ICCI should do",1989,"Computers and Informatics in Developing Countries",,,Scopus
"Laudon K., Westin A.F.",[No title available],1986,"A Longitudinal Model of Information Systems Development: IRS, FBI, and SAA",,,Scopus
"Munasinghe M., Blankstein C.","Computer policy framework and issues in developing countries",1985,"Microcomputers for Development",,,Scopus
"Abdallah S., Albadri F.A.","A perspective on ICT diffusion in the Arab region",2010,"ICT Acceptance, Investment and Organization: Cultural Practices and Values in the Arab World","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899164836&doi=10.4018%2f978-1-60960-048-8.ch001&partnerID=40&md5=33fb2f0f548b38d9f1fe311906aa689e",Book Chapter,Scopus
"Nour S.",[No title available],2008,"The Use and Economic Impacts of ICT at the Macro-Micro levels in the Arab Gulf Countries",,,Scopus
[No author name available],[No title available],2008,"Indicadores",,,Scopus
"Rahman M.Z.",[No title available],2007,"Bridging the Gap Between Rural Students and The University: Alternative Vision of Student Support in Bangladesh",,,Scopus
[No author name available],[No title available],2007,"Socialismo del Siglo XXI: La Fuerza de los Pequeños",,,Scopus
"Shidende N.",[No title available],2005,"Challenges and Approaches to the Integration of HIS: Case Study from Tanzania",,,Scopus
[No author name available],[No title available],2001,"Bridging the Digital Divide In the Americas",,,Scopus
"Kraemer K.L., Perry J.L.","Innovation and computing in the public sector: Areviewof research",1999,"Knowledge, Technology, and Policy",,,Scopus
"Green K.","Development of the Spatial Domain in Resource Management",1999,"GIS Solutions in Natural Resource Management: Balancing the Technical-Political Equation",,,Scopus
"van Crowder L.","Marketing information systems for small-scale farmers",1997,"Information Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18444417280&doi=10.1177%2f0266666974238861&partnerID=40&md5=cfe665c7a0509f26b468fc36a7a2febf",Article,Scopus
"Earl M.J., Feeney D.F.","Is Your CIO Adding Value?",1997,"Managing IT as a Strategic Resource",,,Scopus
"Doerry Eckehard","Evaluating distributed environments based on communicative efficacy",1995,"Conference on Human Factors in Computing Systems - Proceedings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029194602&doi=10.1145%2f223355.223420&partnerID=40&md5=1e5e3514cc93aa2e6f4e16bd7112ed17",Conference Paper,Scopus
"Carroll J.S., Perin C.","How expectations about microcomputers influence their organizational consequences",1988,"Working Paper Series 88-044",,,Scopus
"Whipp R.","Work and social consciousness: The British potters in the early twentieth century",1988,"Past and Present","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447142542&doi=10.1093%2fpast%2f119.1.132&partnerID=40&md5=29244b78fe5a2d180ea40f8cc190d6e1",Article,Scopus
"Rigg J.","Land ownership and land tenure as measures of wealth and marginalisation: evidence from northeast Thailand",1988,"Area","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024189513&partnerID=40&md5=5f34bb3cec0026d8376c9e8e96a2f4a1",Article,Scopus
"Reiter E.",[No title available],1986,"Problems with Computers in Developing Countries",,,Scopus
"Hirschheim R.A.",[No title available],1983,"Participative Systems Design: Some Conclusions from An Exploratory Study",,,Scopus
"Nilen B.L.","Improved data processing effectiveness through increased attractiveness for suppliers",1983,"Regional Computer Cooperation in Developing Countries",,,Scopus
"Nour S., D’Costa A.P.","ICT Opportunities and Challenges for Development in the Arab Region",2019,"The New Economy in Development: ICT Challenges and Opportunities (Series of Technology, Globalization, and Development",,,Scopus
"Rolland K.H., Monteiro E.",[No title available],2019,"The Dynamics Of Integrated Information Systems Implementation: Unintended Consequences Revisited",,,Scopus
[No author name available],[No title available],2009,"Qatar's ICT Landscape: Assessment of Information, Communication and Technology in Qatar",,,Scopus
"Chibelushi C.","ICT industry challenges in Adopting ICT: A case study from the West Midlands, UK",2008,"International Conference on Information Resources Management",,,Scopus
"Islam M.S., Alwadhi S.","Sustainable rural IS implementation process for developing countries: Agriculture market information services (AMIS) in Bangladesh",2008,"Proceedings of the 1st International Conference On M4D Mobile Communication Technology for Development",,,Scopus
"Verclas K.",[No title available],2007,"Grameen Village Phone Ladies: Unplanned Obsolescence after a Window of Opportunity",,,Scopus
"Pritchard S.","How can so many businesses cope without computers",2006,"Financial Times",,,Scopus
"Roberts M., Kernick H.",[No title available],2006,"Feasibility Study for SMS-enabled Collection and Delivery of Rural Market Information",,,Scopus
"Nhampossa J.L.",[No title available],2006,"Re-Thinking Technology Transferas Technology Translation: A Case Study of Health Information Systems in Mozambique",,,Scopus
"Duong N.",[No title available],2004,"Software Industry Development in Vietnam",,,Scopus
"Bagchi K.K., Putnam K., Tang Z.","Global IT Expenditure Growth: An Empirical Investigation Across Some Developing Nations",2004,"Electronic Journal of Information Systems in Developing Countries",,,Scopus
"Carmel E.","Introduction to the special issue: The emergence of software exporting industries in dozens of developing and emerging economies",2003,"EJISDC",,,Scopus
"Davis Jr. C.A., Oliveira P.A.","SIG Interoperável e Distribuído para Administraç ões Municipais de Grande Porte",2002,"Informática Pública, Belo Horizonte (MG)",,,Scopus
"McKinsey and Company",[No title available],2002,"U.S. Productivity Report: 1995-2000",,,Scopus
"Sahay S., Walsham G.",[No title available],1997,"Using GIS in Developing Countries: Social and Management Issues",,,Scopus
"Weill P., Broadbent M., Butler C.","Exploring how firms view IT infrastructure",1996,"Working Paper",,,Scopus
"Geise P.","Using information technology to capture strategic position",1984,"Management Review",,,Scopus
"Hossain M.","Agrarian reform in South Asia-a review of recent experiences in selected countries",1982,"Rural Poverty and Agrarian Reform",,,Scopus
"Joshi P.C.","Poverty, land hunger and emerging class conflicts in rural India",1982,"Rural Poverty and Agrarian Reform",,,Scopus
"Bada A.O.","Strategic and institutional response to the digital challenge: A perspective on how Global IT trends are expressed in developing countries",2018,"The Digital Challenge: Information Technology in the Development Context","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18744396199&partnerID=40&md5=f09469c44d5169a2e7fd6e0b37ef2607",Book Chapter,Scopus
[No author name available],[No title available],2010,"Mobile Phone Subscribers in Bangladesh",,,Scopus
"Shehadi R., Bitar J., Khoury R.","Fast, Lean and Agile: How GCC Governments Can Make the Most of ICT Investments",2010,"Fast, Lean, and Agile: How GCC Governments Can Make the Most of ICT Investments",,,Scopus
"Garside B.","Village voice: Towards inclusive information technologies",2009,"Village voice: towards inclusive information technologies. International Institute for Environment and Development",,,Scopus
[No author name available],[No title available],2008,"5: Bringing agriculture to the market",,,Scopus
"Best M., Wilson E.J. III","The velocity of rebirth",2006,"Inform. Tech. Internat. Development",,,Scopus
"Mohiuddin S., Hutto J.",[No title available],2006,"Connecting the Poor",,,Scopus
"Nicholson B., Sahay S.","Human Resource Development In The Context Of Software Exports: Case Evidence From Costa Rica",2005,"Proceedings of International Federation of Information Processing (IFIP)",,,Scopus
"Onken M., Fisher C., Li J.","Perceived impacts of government regulations on technology transfers",2005,"Journal of Nonprofit and Public Sector Marketing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650338266&doi=10.1300%2fJ054v13n01_03&partnerID=40&md5=719d0cf524b146c37b0537581576a3f2",Article,Scopus
"Paulwell P.",[No title available],2005,"Sectoral Budget Presentation 2005/2006",,,Scopus
[No author name available],[No title available],2005,"Supporting gender and ICTs: Opportunities for women in Bangladesh",,,Scopus
"Pinto M.V.","School registration: Democratizing the access to public schools",2004,"Informatica Publica",,,Scopus
[No author name available],[No title available],2004,"Jamaica: The Road to Sustained Growth",,,Scopus
"UNPAN",[No title available],2003,"Global E-Government Survey: E-Government at the Crossroads",,,Scopus
"Deliktas E., Kok R.","Efficiency convergence in transition economies: 1991-2002",2003,"A nonparametric frontier approach",,,Scopus
"Ricadela A., Maselli J.","Big ERP vendors haven't done well in the midmarket. Can Microsoft do better?",2002,"Informationweek",,,Scopus
[No author name available],"ERP market trends in China",2001,"IDC Research Report",,,Scopus
"Liu B., Zhou Y.","ERP and its application in China",2001,"Proceedings of the 1st International Conference on Electronic Business",,,Scopus
[No author name available],"Getting value from enterprise initiatives: A survey of executives",2000,"BCG Report",,,Scopus
"Reed A.M.",[No title available],2000,"Rethinking development as knowledge: Implications for human development",,,Scopus
[No author name available],"ERP's second wave: Maximizing the value of ERP-enabled processes",1999,"Deloitte Consulting Report",,,Scopus
"Brady W.W., Whysong G.L.","Modeling",1999,"GIS Solutions in Natural Resource Management: Balancing the Technical-Political Equation",,,Scopus
[No author name available],"Aluminum can - But will it?",1998,"The Economist",,,Scopus
"Al-Assaf Y.","Computer-Based Information Systems in the Role of Information Technology Manager in Saudi Arabia",1997,"Computer-Based Information Systems in the Role of Information Technology Manager in Saudi Arabia",,,Scopus
"Orr J.E., Crowfoot N.C.","The politics of knowledge: Participatory design and the location of expertise",1996,"PDC'96 proceedings of the participatory design conference (p",,,Scopus
"Davis C.A., Jr., Zuppo C.A.","Updating urban geographic databases: Methodology and challenges",1995,"Proceedings of GIS/LIS'95 Annual Conference and Exposition",,,Scopus
"Jensen M.","Guidelines and standards for computer based networking in Africa",1994,"Guidelines and standards for computer based networking in Africa",,,Scopus
"Green C.",[No title available],1993,"Strategic Choice and Institutional Isomorphism in the Diffusion of Innovations: An Investigation of EDI Adoption Rationale",,,Scopus
"Yakura E.",[No title available],1993,"Practices of Power: Meaning and Legitimation in Information Technology Consulting",,,Scopus
"Applegate L.",[No title available],1991,"Information Technology and Organizations: A Framework of Research",,,Scopus
"Zwangobani E.","Information technology in Africa: An overview",1990,"Information Technology in Developing Countries",,,Scopus
"Surjadi A.J., Lubukay J.F.P.","Computers and informatics in Indonesia: present and future prospects",1989,"Computers and Informatics in Developing Countries",,,Scopus
"Carey J.","Adopting new technologies",1989,"Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51649155982&doi=10.1007%2fBF02700250&partnerID=40&md5=0ea8295d71708f8e2b6d8702379d4edc",Article,Scopus
[No author name available],[No title available],2011,"World Economic Forum and INSEAD",,,Scopus
"Yahia M.",[No title available],2011,"Information and Communication Technologies on the Rise in the Gulf States",,,Scopus
[No author name available],[No title available],2010,,,,Scopus
[No author name available],[No title available],2010,,,,Scopus
"El-Shenawy N.",[No title available],2010,"ICT Measurement: Egypt's Experience",,,Scopus
[No author name available],[No title available],2010,"Business Monitor International Predicts 10% Growth Rate in Qatar's IT Spend",,,Scopus
[No author name available],[No title available],2010,"Grameen Phone Community Information Centre",,,Scopus
[No author name available],[No title available],2009,,,,Scopus
[No author name available],[No title available],2009,,,,Scopus
[No author name available],[No title available],2009,"Human Development Report 2009 of Bangladesh. Country Fact Sheet",,,Scopus
"Rege R.",[No title available],2009,"Designing Interactive Information Access Technologies for Small Scale Rural Indian Farmers",,,Scopus
[No author name available],[No title available],2009,"08 Piracy Study. Business Software Alliance",,,Scopus
[No author name available],[No title available],2009,"En Venezuela, el uso del Software Libre Estimula la Independencia Tecnológica",,,Scopus
"Deepak P., Bhamidipaty A., Challa S.","Intelligent user assistance for cost effective usage of mobile phone",2008,"International Conference on Intelligent User Interfaces, Proceedings IUI","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349104067&doi=10.1145%2f1378773.1378819&partnerID=40&md5=44e6d3d8e90dbba30e76c2fe81b65f20",Conference Paper,Scopus
[No author name available],[No title available],2008,,,,Scopus
[No author name available],[No title available],2008,,,,Scopus
[No author name available],[No title available],2008,,,,Scopus
[No author name available],[No title available],2008,"E-Government Studies: Finland",,,Scopus
"Sharma P., Kraemer K.L.",[No title available],2008,"The $100 PC project",,,Scopus
[No author name available],[No title available],2008,"Grameenphone Employees Take Part in Biggest Customer Care Campaign",,,Scopus
[No author name available],[No title available],2008,"Trade Net: Business Networking For Trade & Agriculture in Developing Countries",,,Scopus
[No author name available],[No title available],2008,,,,Scopus
[No author name available],[No title available],2008,,,,Scopus
"Marcano C.",[No title available],2008,"Entrevista a Heinz Dieterich",,,Scopus
